Size,Channels,Threads,Time_s
256,16,2,0.0144569
256,16,2,0.0121836
256,16,2,0.0127768
256,16,2,0.0142874
256,16,2,0.0131634
256,16,2,0.0133583
256,16,2,0.0129796
256,16,2,0.0136432
256,16,2,0.0133799
256,16,2,0.0136491
256,16,2,0.0131951
256,16,2,0.0132922
256,16,2,0.0130565
256,16,2,0.0129549
256,16,2,0.0152523
256,16,2,0.0135615
256,16,2,0.0126399
256,16,2,0.0131586
256,16,2,0.0141034
256,16,2,0.0137251
256,16,2,0.0147143
256,16,2,0.0133465
256,16,2,0.0144988
256,16,2,0.0131249
256,16,2,0.0130981
256,16,2,0.0151862
256,16,2,0.0136045
256,16,2,0.0142772
256,16,2,0.01389
256,16,2,0.0150315
256,16,2,0.0134388
256,16,2,0.0142878
256,16,2,0.015207
256,16,2,0.0137511
256,16,2,0.0128684
256,16,2,0.0136553
256,16,2,0.0141404
256,16,2,0.0138473
256,16,2,0.0131326
256,16,2,0.0135724
256,16,2,0.0162984
256,16,2,0.0134604
256,16,2,0.0126725
256,16,2,0.014579
256,16,2,0.0133639
256,16,2,0.0147745
256,16,2,0.013133
256,16,2,0.0147128
256,16,2,0.0132723
256,16,2,0.013082
256,16,4,0.0092803
256,16,4,0.0074454
256,16,4,0.0068636
256,16,4,0.0075669
256,16,4,0.0072912
256,16,4,0.0065454
256,16,4,0.0073125
256,16,4,0.0078953
256,16,4,0.0085521
256,16,4,0.0075791
256,16,4,0.0081782
256,16,4,0.0078338
256,16,4,0.0091017
256,16,4,0.0076168
256,16,4,0.0072661
256,16,4,0.0074833
256,16,4,0.0092738
256,16,4,0.0070845
256,16,4,0.0078853
256,16,4,0.0074888
256,16,4,0.0076646
256,16,4,0.0074436
256,16,4,0.0080279
256,16,4,0.0082989
256,16,4,0.0077662
256,16,4,0.0074543
256,16,4,0.0074889
256,16,4,0.0076937
256,16,4,0.0074944
256,16,4,0.0088862
256,16,4,0.0082409
256,16,4,0.0080135
256,16,4,0.0074343
256,16,4,0.0080651
256,16,4,0.0078408
256,16,4,0.0083578
256,16,4,0.0067568
256,16,4,0.007031
256,16,4,0.0074506
256,16,4,0.0068959
256,16,4,0.0072883
256,16,4,0.007562
