Size,Channels,Threads,Time_s
256,16,2,0.0320538
256,16,2,0.0282735
256,16,2,0.0296798
256,16,2,0.0243421
256,16,2,0.0322172
256,16,2,0.023605
256,16,2,0.0247968
256,16,2,0.022428
256,16,2,0.0296918
256,16,2,0.027233
256,16,2,0.0253941
256,16,2,0.028169
256,16,2,0.0243514
256,16,2,0.0278399
256,16,2,0.0236092
256,16,2,0.0251423
256,16,2,0.0240756
256,16,2,0.0258207
256,16,2,0.0247846
256,16,2,0.024489
256,16,2,0.0253401
256,16,2,0.0256338
256,16,2,0.0244158
256,16,2,0.0251616
256,16,2,0.0295193
256,16,2,0.0248983
256,16,2,0.0242234
256,16,2,0.0269506
256,16,2,0.0307995
256,16,2,0.0263312
256,16,2,0.0234942
256,16,2,0.0259397
256,16,2,0.0238716
256,16,2,0.0325979
256,16,2,0.0235496
256,16,2,0.0249348
256,16,2,0.0233809
256,16,2,0.0320012
256,16,2,0.0298279
256,16,2,0.0296127
256,16,2,0.0237697
256,16,2,0.0243309
256,16,2,0.0238463
256,16,2,0.0257747
256,16,2,0.0316746
256,16,2,0.0231604
256,16,2,0.0281045
256,16,2,0.0237623
256,16,2,0.0245188
256,16,2,0.0239068
256,16,4,0.0206969
256,16,4,0.0141701
256,16,4,0.0121034
256,16,4,0.012377
256,16,4,0.0137651
256,16,4,0.0123168
256,16,4,0.0141178
256,16,4,0.0137715
256,16,4,0.0141592
256,16,4,0.0156177
256,16,4,0.0132443
256,16,4,0.0130774
256,16,4,0.0144895
256,16,4,0.0140523
256,16,4,0.0130892
256,16,4,0.0149269
256,16,4,0.0140511
256,16,4,0.0125369
256,16,4,0.011787
256,16,4,0.0164911
256,16,4,0.0147205
256,16,4,0.0158861
256,16,4,0.0141918
256,16,4,0.014368
256,16,4,0.0122681
256,16,4,0.0114885
256,16,4,0.0149401
256,16,4,0.012944
256,16,4,0.0154327
256,16,4,0.0117091
256,16,4,0.0158497
256,16,4,0.0157377
256,16,4,0.0148956
256,16,4,0.0153202
256,16,4,0.0133922
256,16,4,0.0142244
256,16,4,0.0169229
256,16,4,0.0156868
256,16,4,0.0152548
256,16,4,0.0123712
256,16,4,0.0150885
256,16,4,0.0178249
256,16,4,0.0155435
256,16,4,0.0187867
256,16,4,0.0184192
256,16,4,0.0163297
256,16,4,0.015502
256,16,4,0.0140374
256,16,4,0.0151788
256,16,4,0.0173665
256,16,8,0.0138678
256,16,8,0.0106118
256,16,8,0.0094292
256,16,8,0.010062
256,16,8,0.0099722
256,16,8,0.0103045
256,16,8,0.0104015
256,16,8,0.0104231
256,16,8,0.0104974
256,16,8,0.0109232
256,16,8,0.0092131
256,16,8,0.0102254
256,16,8,0.0096851
256,16,8,0.0098365
256,16,8,0.0108892
256,16,8,0.0101901
256,16,8,0.0100554
256,16,8,0.0104104
256,16,8,0.0098923
256,16,8,0.0109188
256,16,8,0.0096526
256,16,8,0.0104221
256,16,8,0.0085148
256,16,8,0.0101955
256,16,8,0.0101552
256,16,8,0.009418
256,16,8,0.0100408
256,16,8,0.0097203
256,16,8,0.00976
256,16,8,0.0111055
256,16,8,0.0102821
256,16,8,0.0093276
256,16,8,0.0103821
256,16,8,0.0097576
256,16,8,0.0117761
256,16,8,0.0095197
256,16,8,0.0099939
256,16,8,0.0100293
256,16,8,0.0112167
256,16,8,0.0100874
256,16,8,0.0101111
256,16,8,0.009998
256,16,8,0.0099254
256,16,8,0.0120105
256,16,8,0.0106628
256,16,8,0.0105206
256,16,8,0.0098364
256,16,8,0.0103968
256,16,8,0.011063
256,16,8,0.0109555
256,16,16,0.0121978
256,16,16,0.0077501
256,16,16,0.0069829
256,16,16,0.0060219
256,16,16,0.0060624
256,16,16,0.0057936
256,16,16,0.006057
256,16,16,0.0052831
256,16,16,0.0053324
256,16,16,0.005775
256,16,16,0.0054218
