Size,Channels,Threads,Time_s
256,3,2,0.0038441
256,3,2,0.0024514
256,3,2,0.0024488
256,3,2,0.0030773
256,3,2,0.0019002
256,3,2,0.0017345
256,3,2,0.0022937
256,3,2,0.0019356
256,3,2,0.0022182
256,3,2,0.0021418
256,3,2,0.0019218
256,3,2,0.0017697
256,3,2,0.001697
256,3,2,0.0016604
256,3,2,0.0020551
256,3,2,0.0021069
256,3,2,0.0018735
256,3,2,0.0026233
256,3,2,0.00223
256,3,2,0.0022949
256,3,2,0.0020518
256,3,2,0.0022561
256,3,2,0.0028786
256,3,2,0.0023824
256,3,2,0.0026244
256,3,2,0.0021002
256,3,2,0.0022565
256,3,2,0.0018209
256,3,2,0.0019161
256,3,2,0.0028712
256,3,2,0.0023735
256,3,2,0.0026817
256,3,2,0.0024618
256,3,2,0.0017238
256,3,2,0.0017713
256,3,2,0.0016794
256,3,2,0.0016778
256,3,2,0.0016763
256,3,2,0.0016984
256,3,2,0.0019813
256,3,2,0.0023305
256,3,2,0.0021244
256,3,2,0.0018405
256,3,2,0.0017608
256,3,2,0.0016787
256,3,2,0.0016801
256,3,2,0.0016838
256,3,2,0.0016792
256,3,2,0.0025966
256,3,2,0.0019742
256,3,4,0.0025717
256,3,4,0.0012164
256,3,4,0.001711
256,3,4,0.0015772
256,3,4,0.0017617
256,3,4,0.0009285
256,3,4,0.0016947
256,3,4,0.0011799
256,3,4,0.0011978
256,3,4,0.0008895
256,3,4,0.0012586
256,3,4,0.0012409
256,3,4,0.0013019
256,3,4,0.0012785
256,3,4,0.0018712
256,3,4,0.0016274
256,3,4,0.0017442
256,3,4,0.0009239
256,3,4,0.0012604
256,3,4,0.0017583
256,3,4,0.0010547
256,3,4,0.0010718
256,3,4,0.0013427
256,3,4,0.0010242
256,3,4,0.0010541
256,3,4,0.0010918
256,3,4,0.0010121
256,3,4,0.001659
256,3,4,0.001787
256,3,4,0.0018158
256,3,4,0.0013028
256,3,4,0.0014384
256,3,4,0.0009656
256,3,4,0.0010259
256,3,4,0.0011678
256,3,4,0.0012044
256,3,4,0.0012188
256,3,4,0.0013339
256,3,4,0.0013771
256,3,4,0.0017169
256,3,4,0.0017135
256,3,4,0.0015229
256,3,4,0.0017136
256,3,4,0.0018616
256,3,4,0.0015851
256,3,4,0.0016379
256,3,4,0.0014778
256,3,4,0.0015047
256,3,4,0.0014368
256,3,4,0.0017638
256,3,8,0.0026591
256,3,8,0.0012976
256,3,8,0.0010035
256,3,8,0.0013046
256,3,8,0.0010288
256,3,8,0.0010177
256,3,8,0.0009423
256,3,8,0.000928
256,3,8,0.0008787
256,3,8,0.000942
256,3,8,0.0008597
256,3,8,0.0009772
256,3,8,0.0009251
256,3,8,0.0009141
256,3,8,0.000885
256,3,8,0.000902
256,3,8,0.0009671
256,3,8,0.0009648
256,3,8,0.0009032
256,3,8,0.0009389
256,3,8,0.0010659
256,3,8,0.001138
256,3,8,0.0008995
256,3,8,0.0011418
256,3,8,0.0012375
256,3,8,0.0015603
256,3,8,0.0009681
256,3,8,0.0010534
256,3,8,0.0009026
256,3,8,0.0009044
256,3,8,0.0008584
256,3,8,0.0008854
256,3,8,0.0009802
256,3,8,0.0009116
256,3,8,0.0010182
256,3,8,0.0010906
256,3,8,0.0009352
256,3,8,0.0009027
256,3,8,0.0008992
256,3,8,0.000908
256,3,8,0.0010468
256,3,8,0.0009242
256,3,8,0.0008927
256,3,8,0.0008899
256,3,8,0.0008988
256,3,8,0.0008935
256,3,8,0.0008607
256,3,8,0.0009863
256,3,8,0.0008522
256,3,8,0.0008959
256,3,16,0.0030614
256,3,16,0.0009091
256,3,16,0.0009145
256,3,16,0.0009056
256,3,16,0.0009278
256,3,16,0.0009239
256,3,16,0.0009228
256,3,16,0.0010037
256,3,16,0.0011891
256,3,16,0.0012645
256,3,16,0.0011077
256,3,16,0.0009334
256,3,16,0.0010162
256,3,16,0.0010893
256,3,16,0.0009421
256,3,16,0.0009217
256,3,16,0.0009082
256,3,16,0.0009022
256,3,16,0.000925
256,3,16,0.0009857
256,3,16,0.0007559
256,3,16,0.0008955
256,3,16,0.0009219
256,3,16,0.0009443
256,3,16,0.0009588
256,3,16,0.0013387
256,3,16,0.0009183
256,3,16,0.0007962
256,3,16,0.0007094
256,3,16,0.0007746
256,3,16,0.000822
256,3,16,0.0008039
256,3,16,0.0009027
256,3,16,0.0009211
256,3,16,0.0009055
256,3,16,0.0007504
256,3,16,0.0008919
256,3,16,0.000929
256,3,16,0.0007823
256,3,16,0.0009138
256,3,16,0.0008898
256,3,16,0.0009785
256,3,16,0.0009141
256,3,16,0.0009494
256,3,16,0.0010253
256,3,16,0.0008978
256,3,16,0.000889
256,3,16,0.0008518
256,3,16,0.0008722
256,3,16,0.0008394
256,3,32,0.0073217
256,3,32,0.0014476
256,3,32,0.0016932
256,3,32,0.0017276
256,3,32,0.0024685
256,3,32,0.0024267
256,3,32,0.0022978
256,3,32,0.0016345
256,3,32,0.0013845
256,3,32,0.0009321
256,3,32,0.001031
256,3,32,0.001114
256,3,32,0.0010032
256,3,32,0.0010167
256,3,32,0.0007652
256,3,32,0.0011094
256,3,32,0.0013116
256,3,32,0.0011968
256,3,32,0.0013966
256,3,32,0.0011056
256,3,32,0.0011729
256,3,32,0.0012131
256,3,32,0.0012073
256,3,32,0.0011473
256,3,32,0.0015513
256,3,32,0.0012782
256,3,32,0.0011047
256,3,32,0.0011731
256,3,32,0.0010528
256,3,32,0.0008
256,3,32,0.0007633
256,3,32,0.0007945
256,3,32,0.0007703
256,3,32,0.0006634
256,3,32,0.0007907
256,3,32,0.0006815
256,3,32,0.0006869
256,3,32,0.0007037
256,3,32,0.0007104
256,3,32,0.0007696
256,3,32,0.0007231
256,3,32,0.0006848
256,3,32,0.0007983
256,3,32,0.0007676
256,3,32,0.0007189
256,3,32,0.0007228
256,3,32,0.0007332
256,3,32,0.0006899
256,3,32,0.0006555
256,3,32,0.0006754
256,3,64,0.0076449
256,3,64,0.0006829
256,3,64,0.0006995
256,3,64,0.0006775
256,3,64,0.0006723
256,3,64,0.0006718
256,3,64,0.0007665
256,3,64,0.0007762
256,3,64,0.0009099
256,3,64,0.0008677
256,3,64,0.0008071
256,3,64,0.000901
256,3,64,0.0007839
