Size,Channels, Thread, Time_s
256,3,1,0.0030508
256,3,1,0.0020697
256,3,1,0.0020685
256,3,1,0.0020683
256,3,1,0.002068
256,3,1,0.002068
256,3,1,0.002076
256,3,1,0.0020701
256,3,1,0.0020685
256,3,1,0.0020684
256,3,1,0.0020687
256,3,1,0.0020709
256,3,1,0.0020748
256,3,1,0.0020691
256,3,1,0.0020761
256,3,1,0.0020725
256,3,1,0.002068
256,3,1,0.0020689
256,3,1,0.0020671
256,3,1,0.0020662
256,3,1,0.0020686
256,3,1,0.0020761
256,3,1,0.0020696
256,3,1,0.0020683
256,3,1,0.0020689
256,3,1,0.0020839
256,3,1,0.0020679
256,3,1,0.0020737
256,3,1,0.0020682
256,3,1,0.0020701
256,3,1,0.0020681
256,3,1,0.0020688
256,3,1,0.0020686
256,3,1,0.0020665
256,3,1,0.0020669
256,3,1,0.0020684
256,3,1,0.0020675
256,3,1,0.0020873
256,3,1,0.0020677
256,3,1,0.0020873
256,3,1,0.0020679
256,3,1,0.0020804
256,3,1,0.0020693
256,3,1,0.0020722
256,3,1,0.0020739
256,3,1,0.002072
256,3,1,0.002083
256,3,1,0.0020792
256,3,1,0.0020688
256,3,1,0.0020679
256,16,1,0.0111583
256,16,1,0.0110965
256,16,1,0.0111309
256,16,1,0.0110802
256,16,1,0.0110355
256,16,1,0.0110526
256,16,1,0.0110626
256,16,1,0.0110518
256,16,1,0.011041
256,16,1,0.0110531
256,16,1,0.0110256
256,16,1,0.0110875
256,16,1,0.0110328
256,16,1,0.0110562
256,16,1,0.0110271
256,16,1,0.0110481
256,16,1,0.0110326
256,16,1,0.0110603
256,16,1,0.0112495
256,16,1,0.0111761
256,16,1,0.0110488
256,16,1,0.0110354
256,16,1,0.0110327
256,16,1,0.0110341
256,16,1,0.0110248
256,16,1,0.0110312
256,16,1,0.0111303
256,16,1,0.0110867
256,16,1,0.0110897
256,16,1,0.0110459
256,16,1,0.0110314
256,16,1,0.0110307
256,16,1,0.0110322
256,16,1,0.0110259
256,16,1,0.011019
256,16,1,0.0111271
256,16,1,0.0110481
256,16,1,0.0110643
256,16,1,0.0110568
256,16,1,0.0110238
256,16,1,0.0110342
256,16,1,0.011153
256,16,1,0.0110535
256,16,1,0.0110858
256,16,1,0.0123056
256,16,1,0.0110636
256,16,1,0.0111393
256,16,1,0.0110593
256,16,1,0.0110368
256,16,1,0.0110323
256,32,1,0.022525
256,32,1,0.0225951
256,32,1,0.0223039
256,32,1,0.0222903
256,32,1,0.0221991
256,32,1,0.0221408
256,32,1,0.0222676
256,32,1,0.0222381
256,32,1,0.0222266
256,32,1,0.0223166
256,32,1,0.0224027
256,32,1,0.0221203
256,32,1,0.0221451
256,32,1,0.0221295
256,32,1,0.0221759
256,32,1,0.0221135
256,32,1,0.0221474
256,32,1,0.0221667
256,32,1,0.0221283
256,32,1,0.0221381
256,32,1,0.0220845
256,32,1,0.0221136
256,32,1,0.0221857
256,32,1,0.0220961
256,32,1,0.0223206
256,32,1,0.0222783
256,32,1,0.0222701
256,32,1,0.0221507
256,32,1,0.022322
256,32,1,0.0221416
256,32,1,0.0221528
256,32,1,0.022114
256,32,1,0.0224103
256,32,1,0.0224285
256,32,1,0.0221007
256,32,1,0.0221861
256,32,1,0.0220977
256,32,1,0.0221241
256,32,1,0.0222477
256,32,1,0.0233817
256,32,1,0.0221292
256,32,1,0.022087
256,32,1,0.0221204
256,32,1,0.0220815
256,32,1,0.0221111
256,32,1,0.0221021
256,32,1,0.0220606
256,32,1,0.0220803
256,32,1,0.0221172
256,32,1,0.0221806
256,64,1,0.0443313
256,64,1,0.0442637
256,64,1,0.0443347
256,64,1,0.0442745
256,64,1,0.0442509
256,64,1,0.0443615
256,64,1,0.0442188
256,64,1,0.0442833
256,64,1,0.0442283
256,64,1,0.0442803
256,64,1,0.0442614
256,64,1,0.0442662
256,64,1,0.0442857
256,64,1,0.0442368
256,64,1,0.0442571
256,64,1,0.045436
256,64,1,0.0442808
256,64,1,0.0443029
256,64,1,0.0442534
256,64,1,0.0442306
256,64,1,0.0443097
256,64,1,0.0445265
256,64,1,0.044234
256,64,1,0.0442339
256,64,1,0.0443332
256,64,1,0.0442496
256,64,1,0.0442771
256,64,1,0.0442348
256,64,1,0.044216
256,64,1,0.0442178
256,64,1,0.0442891
256,64,1,0.0442837
256,64,1,0.0442561
256,64,1,0.0442896
256,64,1,0.0452965
256,64,1,0.0443093
256,64,1,0.0442518
256,64,1,0.0442301
256,64,1,0.0454337
256,64,1,0.044255
256,64,1,0.0442085
256,64,1,0.0442528
256,64,1,0.0443546
256,64,1,0.044219
256,64,1,0.0443075
256,64,1,0.0446612
256,64,1,0.0442577
256,64,1,0.0447699
256,64,1,0.0452551
256,64,1,0.0465505
256,128,1,0.0886927
256,128,1,0.0898327
256,128,1,0.0889516
256,128,1,0.0885868
256,128,1,0.088915
256,128,1,0.088637
256,128,1,0.088677
256,128,1,0.0886683
256,128,1,0.0888169
256,128,1,0.0886236
256,128,1,0.0887317
256,128,1,0.088558
256,128,1,0.0885225
256,128,1,0.088664
256,128,1,0.088687
256,128,1,0.0899353
256,128,1,0.0884852
256,128,1,0.0904348
256,128,1,0.0963668
256,128,1,0.0885062
256,128,1,0.0884598
256,128,1,0.0885011
256,128,1,0.0884811
256,128,1,0.0884483
256,128,1,0.088809
256,128,1,0.0885517
256,128,1,0.0896152
256,128,1,0.0884159
256,128,1,0.088482
256,128,1,0.0899304
256,128,1,0.0887247
256,128,1,0.0896123
256,128,1,0.122637
256,128,1,0.124624
256,128,1,0.132658
256,128,1,0.142434
256,128,1,0.149083
256,128,1,0.123109
256,128,1,0.140492
256,128,1,0.147138
256,128,1,0.13414
256,128,1,0.130412
256,128,1,0.11963
256,128,1,0.152824
256,128,1,0.136467
256,128,1,0.147241
256,128,1,0.139032
256,128,1,0.135141
256,128,1,0.131257
256,128,1,0.13953
512,3,1,0.0084045
512,3,1,0.0082866
512,3,1,0.009901
512,3,1,0.0093704
512,3,1,0.0097646
512,3,1,0.0089781
512,3,1,0.008331
512,3,1,0.0087364
512,3,1,0.0082975
512,3,1,0.0102159
512,3,1,0.0086443
512,3,1,0.0084398
512,3,1,0.0083121
512,3,1,0.0084065
512,3,1,0.0082867
512,3,1,0.0085408
512,3,1,0.0082905
512,3,1,0.0083185
512,3,1,0.0082744
512,3,1,0.0083093
512,3,1,0.0082753
512,3,1,0.0095403
512,3,1,0.0083016
512,3,1,0.0083361
512,3,1,0.0082962
512,3,1,0.0089044
512,3,1,0.0088734
512,3,1,0.008386
512,3,1,0.008423
512,3,1,0.008326
512,3,1,0.0083488
512,3,1,0.008314
512,3,1,0.0083008
512,3,1,0.0082835
512,3,1,0.00828
512,3,1,0.0095733
512,3,1,0.0083125
512,3,1,0.0083374
512,3,1,0.0083142
512,3,1,0.0082978
512,3,1,0.0083053
512,3,1,0.008351
512,3,1,0.0082996
512,3,1,0.008348
512,3,1,0.0083593
512,3,1,0.0083028
512,3,1,0.0085073
512,3,1,0.0083346
512,3,1,0.0085443
512,3,1,0.0083028
512,16,1,0.048533
512,16,1,0.0480871
512,16,1,0.045548
512,16,1,0.0454568
512,16,1,0.0454812
512,16,1,0.0452713
512,16,1,0.0454285
512,16,1,0.0449724
512,16,1,0.0467521
512,16,1,0.0451159
512,16,1,0.0459643
512,16,1,0.0464345
512,16,1,0.0455726
512,16,1,0.0456397
512,16,1,0.0459426
512,16,1,0.0452932
512,16,1,0.0454108
512,16,1,0.0451753
512,16,1,0.0449703
512,16,1,0.0450329
512,16,1,0.04521
512,16,1,0.0450497
512,16,1,0.0452067
512,16,1,0.0446856
512,16,1,0.0450636
512,16,1,0.0451411
512,16,1,0.0451677
512,16,1,0.0448911
512,16,1,0.0450065
512,16,1,0.0463873
512,16,1,0.0443784
512,16,1,0.0446815
512,16,1,0.0454333
512,16,1,0.0442378
512,16,1,0.0455522
512,16,1,0.0444474
512,16,1,0.0457946
512,16,1,0.0444201
512,16,1,0.0444042
512,16,1,0.0442557
512,16,1,0.0459351
512,16,1,0.0442776
512,16,1,0.0442711
512,16,1,0.0443396
512,16,1,0.0446993
512,16,1,0.0445407
512,16,1,0.0442503
512,16,1,0.044291
512,16,1,0.0442684
512,16,1,0.0455082
512,32,1,0.0888553
512,32,1,0.0884833
512,32,1,0.0885721
512,32,1,0.0896332
512,32,1,0.0896966
512,32,1,0.0884885
512,32,1,0.0885752
512,32,1,0.0891207
512,32,1,0.0887963
512,32,1,0.089614
512,32,1,0.0891432
512,32,1,0.0890525
512,32,1,0.0892971
512,32,1,0.0917865
512,32,1,0.0903754
512,32,1,0.090824
512,32,1,0.0905442
512,32,1,0.0920256
512,32,1,0.0918145
512,32,1,0.091103
512,32,1,0.0914143
512,32,1,0.0910847
512,32,1,0.0890493
512,32,1,0.089978
512,32,1,0.0902149
512,32,1,0.0888487
512,32,1,0.0884834
512,32,1,0.0886177
512,32,1,0.089915
512,32,1,0.0888315
512,32,1,0.088656
512,32,1,0.0887781
512,32,1,0.118034
512,32,1,0.123959
512,32,1,0.149835
512,32,1,0.136467
512,32,1,0.140501
512,32,1,0.14921
512,32,1,0.131279
512,32,1,0.144171
512,32,1,0.124047
512,32,1,0.12882
512,32,1,0.136624
512,32,1,0.142264
512,32,1,0.135382
512,32,1,0.121278
512,32,1,0.137818
512,32,1,0.13162
512,32,1,0.135245
512,32,1,0.154775
512,64,1,0.177737
512,64,1,0.180906
512,64,1,0.17963
512,64,1,0.180921
512,64,1,0.181656
512,64,1,0.181363
512,64,1,0.18104
512,64,1,0.180059
512,64,1,0.177452
512,64,1,0.179842
512,64,1,0.179689
512,64,1,0.178888
512,64,1,0.177972
512,64,1,0.177137
512,64,1,0.179909
512,64,1,0.206208
512,64,1,0.248315
512,64,1,0.266843
512,64,1,0.274398
512,64,1,0.281438
512,64,1,0.244528
512,64,1,0.242673
512,64,1,0.24953
512,64,1,0.274406
512,64,1,0.266248
512,64,1,0.242736
512,64,1,0.240644
512,64,1,0.281907
512,64,1,0.249046
512,64,1,0.261216
512,64,1,0.283657
512,64,1,0.290756
512,64,1,0.266715
512,64,1,0.316686
512,64,1,0.312385
512,64,1,0.30392
512,64,1,0.281245
512,64,1,0.302149
512,64,1,0.273539
512,64,1,0.26837
512,64,1,0.263487
512,64,1,0.294998
512,64,1,0.3149
512,64,1,0.267662
512,64,1,0.271141
512,64,1,0.274942
512,64,1,0.271599
512,64,1,0.298678
512,64,1,0.307538
512,64,1,0.269315
512,128,1,0.360828
512,128,1,0.355544
512,128,1,0.363322
512,128,1,0.355853
512,128,1,0.356523
512,128,1,0.358933
512,128,1,0.354075
512,128,1,0.466047
512,128,1,0.501072
512,128,1,0.487228
512,128,1,0.532408
512,128,1,0.481929
512,128,1,0.508578
512,128,1,0.510011
512,128,1,0.515957
512,128,1,0.515223
512,128,1,0.508217
512,128,1,0.484432
512,128,1,0.512363
512,128,1,0.481667
512,128,1,0.527995
512,128,1,0.527519
512,128,1,0.560634
512,128,1,0.508314
512,128,1,0.49892
512,128,1,0.476363
512,128,1,0.494105
512,128,1,0.48221
512,128,1,0.498294
512,128,1,0.486621
512,128,1,0.52513
512,128,1,0.486681
512,128,1,0.498514
512,128,1,0.484464
512,128,1,0.504255
512,128,1,0.493076
512,128,1,0.501286
512,128,1,0.483294
512,128,1,0.493868
512,128,1,0.475858
512,128,1,0.49974
512,128,1,0.480379
512,128,1,0.502502
512,128,1,0.474082
512,128,1,0.504295
512,128,1,0.502849
512,128,1,0.528954
512,128,1,0.529002
512,128,1,0.592699
512,128,1,0.538451
1024,3,1,0.0352725
1024,3,1,0.0337198
1024,3,1,0.0340065
1024,3,1,0.0335306
1024,3,1,0.0333885
1024,3,1,0.0334048
1024,3,1,0.033259
1024,3,1,0.0332866
1024,3,1,0.0333442
1024,3,1,0.033328
1024,3,1,0.033255
1024,3,1,0.034082
1024,3,1,0.0332567
1024,3,1,0.0332952
1024,3,1,0.0337662
1024,3,1,0.0358975
1024,3,1,0.0343816
1024,3,1,0.0342738
1024,3,1,0.0341349
1024,3,1,0.0336573
1024,3,1,0.0340708
1024,3,1,0.0340154
1024,3,1,0.0340405
1024,3,1,0.0343163
1024,3,1,0.0343742
1024,3,1,0.0332809
1024,3,1,0.033328
1024,3,1,0.0338914
1024,3,1,0.0351871
1024,3,1,0.0339837
