Size,Channels, Thread, Time_s
256,3,1,0.0095936
256,3,1,0.0094471
256,3,1,0.0105677
256,3,1,0.0095588
256,3,1,0.0102361
256,3,1,0.0104036
256,3,1,0.0093017
256,3,1,0.0097938
256,3,1,0.0086658
256,3,1,0.0086021
256,3,1,0.0087308
256,3,1,0.00859
256,3,1,0.009982
256,3,1,0.0087955
256,3,1,0.0106038
256,3,1,0.0106521
256,3,1,0.0100026
256,3,1,0.011931
256,3,1,0.0107828
256,3,1,0.0097315
256,3,1,0.0102184
256,3,1,0.0104103
256,3,1,0.0095217
256,3,1,0.0086284
256,3,1,0.0090893
256,3,1,0.0090827
256,3,1,0.0087113
256,3,1,0.0090325
256,3,1,0.0109082
256,3,1,0.0098503
256,3,1,0.0089731
256,3,1,0.0092276
256,3,1,0.0092234
256,3,1,0.0093963
256,3,1,0.0087099
256,3,1,0.0086998
256,3,1,0.0088664
256,3,1,0.0093337
256,3,1,0.0089643
256,3,1,0.0087072
256,3,1,0.0086386
256,3,1,0.0085165
256,3,1,0.0086471
256,3,1,0.0085172
256,3,1,0.0098367
256,3,1,0.0086994
256,3,1,0.0099942
256,3,1,0.0087274
256,3,1,0.0085374
256,3,1,0.0090959
256,16,1,0.0604395
256,16,1,0.0614096
256,16,1,0.0581351
256,16,1,0.0559813
256,16,1,0.0480575
256,16,1,0.0494275
256,16,1,0.0507426
256,16,1,0.0498715
256,16,1,0.0534007
256,16,1,0.0551654
256,16,1,0.0529727
256,16,1,0.0535598
256,16,1,0.0538166
256,16,1,0.0573021
256,16,1,0.0575729
256,16,1,0.0584771
256,16,1,0.0518119
256,16,1,0.0540729
256,16,1,0.0577114
256,16,1,0.0507719
256,16,1,0.0508199
256,16,1,0.0509571
256,16,1,0.0493924
256,16,1,0.0489197
256,16,1,0.0476767
256,16,1,0.0482039
256,16,1,0.0471545
256,16,1,0.0490519
256,16,1,0.051721
256,16,1,0.0463001
256,16,1,0.0498581
256,16,1,0.0595502
256,16,1,0.0491567
256,16,1,0.0476811
256,16,1,0.0497059
256,16,1,0.0495902
256,16,1,0.0495163
256,16,1,0.0494384
256,16,1,0.0501548
256,16,1,0.048734
256,16,1,0.0501541
256,16,1,0.0472014
256,16,1,0.0482926
256,16,1,0.0492192
256,16,1,0.0491869
256,16,1,0.0479188
256,16,1,0.0475066
256,16,1,0.0485162
256,16,1,0.048702
256,16,1,0.0487305
256,32,1,0.100868
256,32,1,0.0951435
256,32,1,0.0959942
256,32,1,0.0974794
256,32,1,0.0968184
256,32,1,0.0954868
256,32,1,0.0979578
256,32,1,0.0993255
256,32,1,0.0972418
256,32,1,0.098363
256,32,1,0.100697
256,32,1,0.0975217
256,32,1,0.0984202
256,32,1,0.0956999
256,32,1,0.0952302
256,32,1,0.0981968
256,32,1,0.0988833
256,32,1,0.0970366
256,32,1,0.0969236
